YEAR,paper,citations
2016,MovieQA: Understanding Stories in Movies through Question-Answering,482
2016,Detection and Accurate Localization of Circular Fiducials under Highly Challenging Conditions,52
2016,Deep Decision Network for Multi-class Image Classification,75
2016,Shallow and Deep Convolutional Networks for Saliency Prediction,416
2016,Cascaded Interactional Targeting Network for Egocentric Video Analysis,48
2016,Temporal Multimodal Learning in Audiovisual Speech Recognition,81
2016,Sliced Wasserstein Kernels for Probability Distributions,105
2016,Learning Activity Progression in LSTMs for Activity Detection and Early Detection,351
2016,HD Maps: Fine-Grained Road Segmentation by Parsing Ground and Aerial Images,119
2016,NetVLAD: CNN Architecture for Weakly Supervised Place Recognition,1629
2016,Recurrent Attention Models for Depth-Based Person Identification,135
2016,Similarity Learning with Spatial Constraints for Person Re-identification,361
2016,Joint Recovery of Dense Correspondence and Cosegmentation in Two Images,98
2016,"You Lead, We Exceed: Labor-Free Video Concept Learning by Jointly Exploiting Web Videos and Images",103
2016,MDL-CW: A Multimodal Deep Learning Framework with CrossWeights,40
2016,An Egocentric Look at Video Photographer Identity,38
2016,SemiContour: A Semi-Supervised Learning Approach for Contour Detection,25
2016,Sublabel–Accurate Relaxation of Nonconvex Energies,44
2016,Linear Shape Deformation Models with Local Support Using Graph-Based Structured Matrix Factorisation,16
2016,Learning Weight Uncertainty with Stochastic Gradient MCMC for Shape Classification,40
2016,Do Computational Models Differ Systematically from Human Object Perception?,35
2016,Online Reconstruction of Indoor Scenes from RGB-D Streams,19
2016,A Dual-Source Approach for 3D Pose Estimation from a Single Image,218
2016,Deeply-Recursive Convolutional Network for Image Super-Resolution,1888
2016,Seeing through the Human Reporting Bias: Visual Classifiers from Noisy Human-Centric Labels,147
2016,Where to Look: Focus Regions for Visual Question Answering,421
2016,Discriminative Multi-modal Feature Fusion for RGBD Indoor Scene Recognition,100
2016,Image Captioning with Semantic Attention,1366
2016,Learning Action Maps of Large Environments via First-Person Vision,39
2016,Fast Algorithms for Linear and Kernel SVM+,43
2016,DeLay: Robust Spatial Layout Estimation for Cluttered Indoor Scenes,113
2016,Walk and Learn: Facial Attribute Representation Learning from Egocentric Video and Contextual Data,122
2016,An Efficient Exact-PGA Algorithm for Constant Curvature Manifolds,11
2016,Backtracking ScSPM Image Classifier for Weakly Supervised Top-Down Saliency,34
2016,A Multi-stream Bi-directional Recurrent Neural Network for Fine-Grained Action Detection,393
2016,Saliency Guided Dictionary Learning for Weakly-Supervised Image Parsing,30
2016,Learning to Select Pre-Trained Deep Representations with Bayesian Evidence Framework,17
2016,Learning Deep Feature Representations with Domain Guided Dropout for Person Re-identification,954
2016,Joint Learning of Single-Image and Cross-Image Representations for Person Re-identification,385
2016,Beyond Local Search: Tracking Objects Everywhere with Instance-Specific Proposals,204
2016,First Person Action Recognition Using Deep Learned Descriptors,184
2016,Hedged Deep Tracking,684
2016,Highlight Detection with Pairwise Deep Ranking for First-Person Video Summarization,229
2016,Actions ~ Transformations,288
2016,InterActive: Inter-Layer Activeness Propagation,39
2016,Learning from the Mistakes of Others: Matching Errors in Cross-Dataset Learning,12
2016,Volumetric and Multi-view CNNs for Object Classification on 3D Data,1261
2016,GOGMA: Globally-Optimal Gaussian Mixture Alignment,66
2016,Unsupervised Learning of Edges,97
2016,Single Image Camera Calibration with Lenticular Arrays for Augmented Reality,8
2016,Sparseness Meets Deepness: 3D Human Pose Estimation from Monocular Video,408
2016,RAW Image Reconstruction Using a Self-Contained sRGB-JPEG Image with Only 64 KB Overhead,23
2016,Piecewise-Planar 3D Approximation from Wide-Baseline Stereo,15
2016,Learning Deep Structure-Preserving Image-Text Embeddings,630
2016,Region Ranking SVM for Image Classification,30
2016,Consensus of Non-rigid Reconstructions,38
2016,Deep Structured Scene Parsing by Learning with Image Descriptions,37
2016,Reversible Recursive Instance-Level Object Segmentation,63
2016,Synthetic Data for Text Localisation in Natural Images,964
2016,Cross-Stitch Networks for Multi-task Learning,744
2016,A Hierarchical Pose-Based Approach to Complex Action Understanding Using Dictionaries of Actionlets and Motion Poselets,56
2016,Scene Labeling Using Sparse Precision Matrix,22
2016,Semi-supervised Vocabulary-Informed Learning,146
2016,Supervised Quantization for Similarity Search,70
2016,Semantic Instance Annotation of Street Scenes by 3D to 2D Label Transfer,119
2016,Unsupervised Cross-Dataset Transfer Learning for Person Re-identification,331
2016,Guaranteed Outlier Removal with Mixed Integer Linear Programs,41
2016,Social LSTM: Human Trajectory Prediction in Crowded Spaces,1682
2016,Mining 3D Key-Pose-Motifs for Action Recognition,98
2016,Visual Tracking Using Attention-Modulated Disintegration and Integration,178
2016,Video2GIF: Automatic Generation of Animated GIFs from Video,110
2016,End-to-End Learning of Action Detection from Frame Glimpses in Videos,541
2016,Unbiased Photometric Stereo for Colored Surfaces: A Variational Approach,38
2016,TI-POOLING: Transformation-Invariant Pooling for Feature Learning in Convolutional Neural Networks,206
2016,Accumulated Stability Voting: A Robust Descriptor from Descriptors of Multiple Scales,26
2016,Efficient Coarse-to-Fine Patch Match for Large Displacement Optical Flow,190
2016,Learned Binary Spectral Shape Descriptor for 3D Shape Correspondence,25
2016,VisualWord2Vec (Vis-W2V): Learning Visually Grounded Word Embeddings Using Abstract Scenes,91
2016,Non-local Image Dehazing,805
2016,Consistency of Silhouettes and Their Duals,4
2016,GIFT: A Real-Time and Scalable 3D Shape Search Engine,255
2016,BoxCars: 3D Boxes as CNN Input for Improved Fine-Grained Vehicle Recognition,159
2016,Learning Online Smooth Predictors for Realtime Camera Planning Using Recurrent Decision Trees,49
2016,Convolutional Pose Machines,2361
2016,Manifold SLIC: A Fast Method to Compute Content-Sensitive Superpixels,115
2016,Real-Time Salient Object Detection with a Minimum Spanning Tree,240
2016,Fast Algorithms for Convolutional Neural Networks,710
2016,Object Co-segmentation via Graph Optimized-Flexible Manifold Ranking,76
2016,Improved Hamming Distance Search Using Variable Length Hashing,25
2016,Recurrent Attentional Networks for Saliency Detection,243
2016,Discriminatively Embedded K-Means for Multi-view Clustering,95
2016,Collaborative Quantization for Cross-Modal Similarity Search,52
2016,A Benchmark Dataset and Evaluation for Non-Lambertian and Uncalibrated Photometric Stereo,155
2016,Sparse Coding for Third-Order Super-Symmetric Tensor Descriptors with Application to Texture Recognition,33
2016,Recurrent Convolutional Network for Video-Based Person Re-identification,504
2016,Hierarchical Gaussian Descriptor for Person Re-identification,573
2016,Dynamic Image Networks for Action Recognition,540
2016,Proximal Riemannian Pursuit for Large-Scale Trace-Norm Minimization,4
2016,VirtualWorlds as Proxy for Multi-object Tracking Analysis,786
2016,Progressively Parsing Interactional Objects for Fine Grained Action Detection,81
2016,Improving Human Action Recognition by Non-action Classification,36
2016,Real-Time Depth Refinement for Specular Objects,21
2016,Equiangular Kernel Dictionary Learning with Applications to Dynamic Texture Analysis,35
2016,Progressive Feature Matching with Alternate Descriptor Selection and Correspondence Enrichment,17
2016,Exemplar-Driven Top-Down Saliency Detection via Deep Association,38
2016,A Paradigm for Building Generalized Models of Human Image Perception through Data Fusion,5
2016,Deep Compositional Captioning: Describing Novel Object Categories without Paired Training Data,261
2016,Multispectral Images Denoising by Intrinsic Tensor Sparsity Regularization,171
2016,Uncertainty-Driven 6D Pose Estimation of Objects and Scenes from a Single RGB Image,359
2016,Similarity Metric for Curved Shapes in Euclidean Space,13
2016,Neural Module Networks,896
2016,Optimal Relative Pose with Unknown Correspondences,16
2016,Camera Calibration from Periodic Motion of a Pedestrian,32
2016,Full Flow: Optical Flow Estimation By Global Optimization over Regular Grids,159
2016,WELDON: Weakly Supervised Learning of Deep Convolutional Neural Networks,155
2016,Instance-Level Segmentation for Autonomous Driving with Deep Densely Connected MRFs,191
2016,Adaptive Object Detection Using Adjacency and Zoom Prediction,69
2016,Joint Multiview Segmentation and Localization of RGB-D Images Using Depth-Induced Silhouette Consistency,6
2016,Automatic Fence Segmentation in Videos of Dynamic Scenes,18
2016,Face2Face: Real-Time Face Capture and Reenactment of RGB Videos,988
2016,Using Self-Contradiction to Learn Confidence Measures in Stereo Vision,36
2016,Learning Deep Representation for Imbalanced Classification,541
2016,Efficient Indexing of Billion-Scale Datasets of Deep Descriptors,141
2016,Exploiting Spectral-Spatial Correlation for Coded Hyperspectral Image Restoration,51
2016,High-Quality Depth from Uncalibrated Small Motion Clip,87
2016,Top-Push Video-Based Person Re-identification,269
2016,Determining Occlusions from Space and Time Image Reconstructions,13
2016,Regularizing Long Short Term Memory with 3D Human-Skeleton Sequences for Action Recognition,155
2016,Solving Temporal Puzzles,5
2016,From Keyframes to Key Objects: Video Summarization by Representative Object Proposal Selection,108
2016,Real-Time Action Recognition with Enhanced Motion Vector CNNs,370
2016,Robust Light Field Depth Estimation for Noisy Scene with Occlusion,67
2016,What If We Do Not have Multiple Videos of the Same Action? — Video Action Localization Using Web Images,34
2016,Removing Clouds and Recovering Ground Observations in Satellite Image Sequences via Temporally Contiguous Robust Matrix Completion,14
2016,Scale-Aware Alignment of Hierarchical Image Segmentation,32
2016,Recombinator Networks: Learning Coarse-to-Fine Feature Aggregation,111
2016,Saliency Unified: A Deep Architecture for simultaneous Eye Fixation Prediction and Salient Object Segmentation,132
2016,Stacked Attention Networks for Image Question Answering,1546
2016,Spatiotemporal Bundle Adjustment for Dynamic 3D Reconstruction,50
2016,Joint Unsupervised Deformable Spatio-Temporal Alignment of Sequences,3
2016,Tensor Power Iteration for Multi-graph Matching,27
2016,Multi-cue Zero-Shot Learning with Strong Supervision,117
2016,Heterogeneous Light Fields,11
2016,Automated 3D Face Reconstruction from Multiple Images Using Quality Measures,81
2016,Constrained Deep Transfer Feature Learning and Its Applications,32
2016,Gradual DropIn of Layers to Train Very Deep Neural Networks,24
2016,G-CNN: An Iterative Grid Based Object Detector,157
2016,6D Dynamic Camera Relocalization from Single Reference Image,13
2016,A Benchmark Dataset and Evaluation Methodology for Video Object Segmentation,1014
2016,Visually Indicated Sounds,281
2016,Stereo Matching with Color and Monochrome Cameras in Low-Light Conditions,26
2016,Efficient Large-Scale Similarity Search Using Matrix Factorization,24
2016,Convolutional Networks for Shape from Light Field,85
2016,Structured Prediction of Unobserved Voxels from a Single Depth Image,146
2016,Noisy Label Recovery for Shadow Detection in Unfamiliar Domains,38
2016,Staple: Complementary Learners for Real-Time Tracking,1470
2016,End-to-End Learning of Deformable Mixture of Parts and Deep Convolutional Neural Networks for Human Pose Estimation,257
2016,TenSR: Multi-dimensional Tensor Sparse Representation,43
2016,Fast Training of Triplet-Based Deep Binary Embedding Networks,115
2016,Summary Transfer: Exemplar-Based Subset Selection for Video Summarization,200
2016,Rain Streak Removal Using Layer Priors,461
2016,Single Image Object Modeling Based on BRDF and r-Surfaces Learning,3
2016,DeepFashion: Powering Robust Clothes Recognition and Retrieval with Rich Annotations,1082
2016,From Bows to Arrows: Rolling Shutter Rectification of Urban Scenes,33
2016,"Learning Sparse High Dimensional Filters: Image Filtering, Dense CRFs and Bilateral Neural Networks",169
2016,Pull the Plug? Predicting If Computers or Humans Should Segment Images,30
2016,From Noise Modeling to Blind Image Denoising,65
