YEAR,TITLE,citations
2016,Scalable Gradient-Based Tuning of Continuous Regularization Hyperparameters,103
2016,Model-Free Trajectory Optimization for Reinforcement Learning,39
2016,Controlling the distance to a Kemeny consensus without computing it,17
2016,Horizontally Scalable Submodular Maximization,9
2016,Group Equivariant Convolutional Networks,904
2016,Stochastic Discrete Clenshaw-Curtis Quadrature,6
2016,Correcting Forecasts with Multifactor Neural Attention,28
2016,Learning Representations for Counterfactual Inference,387
2016,Automatic Construction of Nonparametric Relational Regression Models for Multiple Time Series,32
2016,Inference Networks for Sequential Monte Carlo in Graphical Models,91
2016,Slice Sampling on Hamiltonian Trajectories,2
2016,Noisy Activation Functions,213
2016,PD-Sparse : A Primal and Dual Sparse Approach to Extreme Multiclass and Multilabel Classification,162
2017,Uncovering Causality from Multivariate Hawkes Integrated Cumulants,68
2017,A Unified Maximum Likelihood Approach for Estimating Symmetric Properties of Discrete Distributions,31
2017,Constrained Policy Optimization,536
2017,The Price of Differential Privacy for Online Learning,53
2017,Local Bayesian Optimization of Motor Skills,13
2017,Connected Subgraph Detection with Mirror Descent on SDPs,10
2017,Learning from Clinical Judgments: Semi-Markov-Modulated Marked Hawkes Processes for Risk Prognosis,37
2017,"A Semismooth Newton Method for Fast, Generic Convex Programming",22
2017,Learning Continuous Semantic Representations of Symbolic Expressions,69
2017,Natasha: Faster Non-Convex Stochastic Optimization via Strongly Non-Convex Parameter,83
2017,Doubly Accelerated Methods for Faster CCA and Generalized Eigendecomposition,46
2017,Faster Principal Component Regression and Stable Matrix Chebyshev Approximation,14
2017,Follow the Compressed Leader: Faster Online Learning of Eigenvectors and Faster MMWU,29
2017,Near-Optimal Design of Experiments via Regret Minimization,50
2017,OptNet: Differentiable Optimization as a Layer in Neural Networks,397
2017,Input Convex Neural Networks,179
2017,"An Efficient, Sparsity-Preserving, Online Algorithm for Low-Rank Approximation",13
2017,Modular Multitask Reinforcement Learning with Policy Sketches,293
2017,Averaged-DQN: Variance Reduction and Stabilization for Deep Reinforcement Learning,184
2017,A Simple Multi-Class Boosting Framework with Theoretical Guarantees and Empirical Proficiency,6
2017,Deep Voice: Real-time Neural Text-to-Speech,474
2017,Oracle Complexity of Second-Order Methods for Finite-Sum Problems,29
2017,Wasserstein Generative Adversarial Networks,8444
2017,Generalization and Equilibrium in Generative Adversarial Nets (GANs),528
2017,A Closer Look at Memorization in Deep Networks,741
2017,An Alternative Softmax Operator for Reinforcement Learning,128
2017,Random Fourier Features for Kernel Ridge Regression: Approximation Bounds and Statistical Guarantees,105
2017,Minimax Regret Bounds for Reinforcement Learning,372
2017,Learning the Structure of Generative Models without Labeled Data,110
2017,Uniform Deviation Bounds for k-Means Clustering,12
2017,Distributed and Provably Good Seedings for k-Means in Constant Rounds,24
2017,Learning Algorithms for Active Learning,124
2017,Improving Viterbi is Hard: Better Runtimes Imply Faster Clique Algorithms,37
2017,Differentially Private Clustering in High-Dimensional Euclidean Spaces,45
2017,Strongly-Typed Agents are Guaranteed to Interact Safely,3
2017,"The Shattered Gradients Problem: If resnets are the answer, then what is the question?",222
2017,Neural Taylor Approximations: Convergence and Exploration in Rectifier Networks,25
2017,Spectral Learning from a Single Trajectory under Finite-State Policies,5
2017,Lost Relatives of the Gumbel Trick,19
2017,Dynamic Word Embeddings,205
2017,End-to-End Differentiable Adversarial Imitation Learning,65
2017,Emulating the Expert: Inverse Optimization through Online Learning,28
2017,Unimodal Probability Distributions for Deep Ordinal Classification,38
2017,Globally Induced Forest: A Prepruning Compression Scheme,10
2017,End-to-End Learning for Structured Prediction Energy Networks,108
2017,Learning to Discover Sparse Graphical Models,14
2017,A Distributional Perspective on Reinforcement Learning,796
2017,Neural Optimizer Search with Reinforcement Learning,242
2017,Learning Texture Manifolds with the Periodic Spatial GAN,94
2017,Differentially Private Learning of Undirected Graphical Models Using Collective Graphical Models,26
2017,Efficient Online Bandit Multiclass Learning with $\tilde{O}(\sqrt{T})$ Regret,7
2017,Guarantees for Greedy Maximization of Non-submodular Functions with Applications,157
2017,Robust Submodular Maximization: A Non-Uniform Partitioning Approach,34
2017,Unsupervised Learning by Predicting Noise,195
2017,Adaptive Neural Networks for Efficient Inference,167
2017,Compressed Sensing using Generative Models,473
2017,Programming with a Differentiable Forth Interpreter,76
2017,Practical Gauss-Newton Optimisation for Deep Learning,107
2017,Lazifying Conditional Gradient Algorithms,46
2017,Clustering High Dimensional Dynamic Data Streams,30
2017,On the Sampling Problem for Kernel Quadrature,19
2017,Reduced Space and Faster Convergence in Imperfect-Information Games via Pruning,26
2017,Globally Optimal Gradient Descent for a ConvNet with Gaussian Inputs,266
2017,Deep Tensor Convolution on Multicores,34
2017,Multi-objective Bandits: Optimizing the Generalized Gini Index,20
2017,Priv’IT: Private and Sample Efficient Identity Testing,46
2017,Second-Order Kernel Online Convex Optimization with Adaptive Sketching,25
2017,“Convex Until Proven Guilty”: Dimension-Free Acceleration of Gradient Descent on Non-Convex Functions,88
2017,Sliced Wasserstein Kernel for Persistence Diagrams,168
2017,Multiple Clustering Views from Multiple Uncertain Experts,10
2017,Uncertainty Assessment and False Discovery Rate Control in High-Dimensional Granger Causal Inference,6
2017,Active Heteroscedastic Regression,9
2017,Combining Model-Based and Model-Free Updates for Trajectory-Centric Reinforcement Learning,129
2017,Robust Structured Estimation with Single-Index Models,7
2017,Adaptive Multiple-Arm Identification,16
2017,Dueling Bandits with Weak Regret,15
2017,Strong NP-Hardness for Sparse Optimization with Concave Penalty Functions,15
2017,Learning to Learn without Gradient Descent by Gradient Descent,164
2017,Identification and Model Testing in Linear Structural Equation Models using Auxiliary Variables,18
2017,Toward Efficient and Accurate Covariance Matrix Estimation on Compressed Data,14
2017,Online Partial Least Square Optimization: Dropping Convexity for Better Efficiency and Scalability,5
2017,Learning to Aggregate Ordinal Labels by Maximizing Separating Width,7
2017,Nearly Optimal Robust Matrix Completion,78
2017,Algorithms for $\ell_p$ Low-Rank Approximation,37
2017,MEC: Memory-efficient Convolution for Deep Neural Network,61
2017,On Relaxing Determinism in Arithmetic Circuits,51
2017,Improving Stochastic Policy Gradients in Continuous Control with Deep Reinforcement Learning using the Beta Distribution,90
2017,On Kernelized Multi-armed Bandits,175
2017,Parseval Networks: Improving Robustness to Adversarial Examples,530
2017,Deep Latent Dirichlet Allocation with Topic-Layer-Adaptive Stochastic Gradient Riemannian MCMC,51
2017,AdaNet: Adaptive Structural Learning of Artificial Neural Networks,223
2017,Random Feature Expansions for Deep Gaussian Processes,105
2017,Soft-DTW: a Differentiable Loss Function for Time-Series,259
2017,Understanding Synthetic Gradients and Decoupled Neural Interfaces,45
2017,Stochastic Generative Hashing,70
2017,Logarithmic Time One-Against-Some,45
2017,Language Modeling with Gated Convolutional Networks,1310
2017,An Infinite Hidden Markov Model With Similarity-Biased Transitions,0
2017,Distributed Batch Gaussian Process Optimization,33
2017,Consistency Analysis for Binary Classification Revisited,20
2017,"iSurvive: An Interpretable, Event-time Prediction Model for mHealth",15
2017,Image-to-Markup Generation with Coarse-to-Fine Attention,121
2017,RobustFill: Neural Program Learning under Noisy I/O,268
2017,Being Robust (in High Dimensions) Can Be Practical,155
2017,Probabilistic Path Hamiltonian Monte Carlo,26
2017,Sharp Minima Can Generalize For Deep Nets,387
2017,A Divergence Bound for Hybrids of MCMC and Variational Inference and an Application to Langevin Dynamics and SGVI,4
2017,Dance Dance Convolution,32
